rownumber,jobcode,Timestamp,Local Date,Local Time,Temperature (°C),Humidity (%),Latitude,Longitude,Altitude (m),Accuracy (m),Speed (MPH)
17399,Tracy080925_022-20250809 205154,1754798416108,8/9/2025,21:00:16,31.04,0.0,37.743354,-121.425251,16.84,2.82,0.00
18389,Tracy080925_022-20250809 205154,1754798417098,8/9/2025,21:00:17,31.04,0.0,37.743354,-121.425251,16.84,2.82,0.00
19408,Tracy080925_022-20250809 205154,1754798418117,8/9/2025,21:00:18,31.02,0.0,37.743354,-121.425251,16.84,2.82,0.00
20398,Tracy080925_022-20250809 205154,1754798419107,8/9/2025,21:00:19,31.02,0.0,37.743354,-121.425251,16.84,2.82,0.00
21390,Tracy080925_022-20250809 205154,1754798420099,8/9/2025,21:00:20,31.01,0.0,37.743354,-121.425251,16.84,2.82,0.00
22380,Tracy080925_022-20250809 205154,1754798421089,8/9/2025,21:00:21,31.01,0.0,37.743354,-121.425251,16.84,2.82,0.00
23428,Tracy080925_022-20250809 205154,1754798422137,8/9/2025,21:00:22,31.01,0.0,37.743354,-121.425251,16.84,2.82,0.00
24388,Tracy080925_022-20250809 205154,1754798423097,8/9/2025,21:00:23,31.00,0.0,37.743355,-121.425252,16.84,4.75,0.00
25408,Tracy080925_022-20250809 205154,1754798424117,8/9/2025,21:00:24,31.00,0.0,37.743333,-121.425274,14.08,4.75,0.00
26426,Tracy080925_022-20250809 205154,1754798425135,8/9/2025,21:00:25,30.99,0.0,37.743331,-121.425259,13.65,4.75,1.34
27388,Tracy080925_022-20250809 205154,1754798426097,8/9/2025,21:00:26,30.98,0.0,37.743330,-121.425248,13.58,4.75,1.63
28408,Tracy080925_022-20250809 205154,1754798427117,8/9/2025,21:00:27,30.98,0.0,37.743330,-121.425239,13.44,4.75,1.63
29398,Tracy080925_022-20250809 205154,1754798428107,8/9/2025,21:00:28,30.97,0.0,37.743330,-121.425215,13.21,4.75,2.71
30387,Tracy080925_022-20250809 205154,1754798429096,8/9/2025,21:00:29,30.96,0.0,37.743335,-121.425186,13.20,4.75,3.96
31407,Tracy080925_022-20250809 205154,1754798430116,8/9/2025,21:00:30,31.02,0.0,37.743353,-121.425154,13.10,4.75,5.97
32398,Tracy080925_022-20250809 205154,1754798431107,8/9/2025,21:00:31,31.05,0.0,37.743374,-121.425145,12.93,4.75,5.97
33387,Tracy080925_022-20250809 205154,1754798432096,8/9/2025,21:00:32,31.05,0.0,37.743386,-121.425128,14.54,8.91,4.21
34408,Tracy080925_022-20250809 205154,1754798433117,8/9/2025,21:00:33,31.05,0.0,37.743390,-121.425128,14.53,11.78,0.00
35397,Tracy080925_022-20250809 205154,1754798434106,8/9/2025,21:00:34,31.05,0.0,37.743412,-121.425125,14.30,11.78,3.40
36387,Tracy080925_022-20250809 205154,1754798435096,8/9/2025,21:00:35,31.05,0.0,37.743430,-121.425123,14.25,14.61,3.49
37377,Tracy080925_022-20250809 205154,1754798436086,8/9/2025,21:00:36,31.04,0.0,37.743446,-121.425130,14.14,13.19,3.51
38398,Tracy080925_022-20250809 205154,1754798437107,8/9/2025,21:00:37,31.03,0.0,37.743461,-121.425140,14.02,11.86,3.94
39387,Tracy080925_022-20250809 205154,1754798438096,8/9/2025,21:00:38,31.05,0.0,37.743479,-121.425155,14.10,9.39,4.07
40408,Tracy080925_022-20250809 205154,1754798439117,8/9/2025,21:00:39,31.09,0.0,37.743503,-121.425178,14.26,7.91,5.70
41398,Tracy080925_022-20250809 205154,1754798440107,8/9/2025,21:00:40,31.12,0.0,37.743529,-121.425227,14.08,6.93,8.30
42387,Tracy080925_022-20250809 205154,1754798441096,8/9/2025,21:00:41,31.10,0.0,37.743538,-121.425286,13.99,6.33,9.95
43377,Tracy080925_022-20250809 205154,1754798442086,8/9/2025,21:00:42,31.11,0.0,37.743537,-121.425362,13.91,6.05,12.10
44397,Tracy080925_022-20250809 205154,1754798443106,8/9/2025,21:00:43,31.12,0.0,37.743536,-121.425438,13.76,5.60,13.96
45390,Tracy080925_022-20250809 205154,1754798444099,8/9/2025,21:00:44,31.13,0.0,37.743537,-121.425519,13.71,5.10,14.52
46408,Tracy080925_022-20250809 205154,1754798445117,8/9/2025,21:00:45,31.12,0.0,37.743542,-121.425590,13.67,4.77,13.76
47429,Tracy080925_022-20250809 205154,1754798446138,8/9/2025,21:00:46,31.15,0.0,37.743543,-121.425657,13.52,4.62,13.04
48387,Tracy080925_022-20250809 205154,1754798447096,8/9/2025,21:00:47,31.12,0.0,37.743539,-121.425713,13.47,4.30,11.30
49407,Tracy080925_022-20250809 205154,1754798448116,8/9/2025,21:00:48,31.13,0.0,37.743546,-121.425743,13.43,4.12,7.81
50427,Tracy080925_022-20250809 205154,1754798449136,8/9/2025,21:00:49,31.09,0.0,37.743534,-121.425765,13.59,3.99,6.46
51387,Tracy080925_022-20250809 205154,1754798450096,8/9/2025,21:00:50,31.06,0.0,37.743534,-121.425787,13.61,3.79,6.69
52407,Tracy080925_022-20250809 205154,1754798451116,8/9/2025,21:00:51,31.03,0.0,37.743627,-121.425756,13.44,3.63,8.23
53398,Tracy080925_022-20250809 205154,1754798452107,8/9/2025,21:00:52,31.02,0.0,37.743687,-121.425756,13.58,3.50,11.63
54387,Tracy080925_022-20250809 205154,1754798453096,8/9/2025,21:00:53,31.04,0.0,37.743758,-121.425757,13.50,3.36,15.08
55407,Tracy080925_022-20250809 205154,1754798454116,8/9/2025,21:00:54,31.07,0.0,37.743848,-121.425757,13.43,3.59,18.79
56398,Tracy080925_022-20250809 205154,1754798455107,8/9/2025,21:00:55,31.12,0.0,37.743944,-121.425757,13.38,3.35,20.96
57417,Tracy080925_022-20250809 205154,1754798456126,8/9/2025,21:00:56,31.09,0.0,37.744032,-121.425757,13.31,2.87,20.98
58407,Tracy080925_022-20250809 205154,1754798457116,8/9/2025,21:00:57,31.11,0.0,37.744114,-121.425757,13.24,2.55,20.29
59397,Tracy080925_022-20250809 205154,1754798458106,8/9/2025,21:00:58,31.07,0.0,37.744187,-121.425757,13.21,2.69,19.15
60387,Tracy080925_022-20250809 205154,1754798459096,8/9/2025,21:00:59,31.03,0.0,37.744264,-121.425757,13.22,2.62,18.45
61409,Tracy080925_022-20250809 205154,1754798460118,8/9/2025,21:01:00,31.05,0.0,37.744344,-121.425757,13.42,2.61,19.35
62458,Tracy080925_022-20250809 205154,1754798461167,8/9/2025,21:01:01,30.99,0.0,37.744445,-121.425757,13.48,2.37,21.99
63418,Tracy080925_022-20250809 205154,1754798462127,8/9/2025,21:01:02,30.96,0.0,37.744543,-121.425757,13.36,3.70,23.67
64408,Tracy080925_022-20250809 205154,1754798463117,8/9/2025,21:01:03,31.00,0.0,37.744646,-121.425757,13.38,3.05,25.08
65398,Tracy080925_022-20250809 205154,1754798464107,8/9/2025,21:01:04,31.05,0.0,37.744751,-121.425759,13.22,3.80,25.59
66418,Tracy080925_022-20250809 205154,1754798465127,8/9/2025,21:01:05,31.09,0.0,37.744854,-121.425761,13.23,3.74,25.32
67437,Tracy080925_022-20250809 205154,1754798466146,8/9/2025,21:01:06,31.06,0.0,37.744956,-121.425762,13.42,3.09,25.57
68428,Tracy080925_022-20250809 205154,1754798467137,8/9/2025,21:01:07,31.12,0.0,37.745062,-121.425763,13.13,3.01,26.11
69386,Tracy080925_022-20250809 205154,1754798468095,8/9/2025,21:01:08,31.07,0.0,37.745172,-121.425764,13.19,3.43,26.78
70407,Tracy080925_022-20250809 205154,1754798469116,8/9/2025,21:01:09,31.01,0.0,37.745280,-121.425765,13.29,3.56,27.07
71398,Tracy080925_022-20250809 205154,1754798470107,8/9/2025,21:01:10,31.03,0.0,37.745395,-121.425766,13.48,3.60,28.10
72387,Tracy080925_022-20250809 205154,1754798471096,8/9/2025,21:01:11,31.09,0.0,37.745510,-121.425766,13.24,4.02,28.48
73407,Tracy080925_022-20250809 205154,1754798472116,8/9/2025,21:01:12,31.03,0.0,37.745624,-121.425767,13.13,3.20,28.25
74397,Tracy080925_022-20250809 205154,1754798473106,8/9/2025,21:01:13,30.98,0.0,37.745735,-121.425767,13.20,2.91,27.89
75387,Tracy080925_022-20250809 205154,1754798474096,8/9/2025,21:01:14,30.96,0.0,37.745848,-121.425767,13.32,2.47,27.76
76408,Tracy080925_022-20250809 205154,1754798475117,8/9/2025,21:01:15,30.98,0.0,37.745956,-121.425768,13.08,2.50,27.16
77428,Tracy080925_022-20250809 205154,1754798476137,8/9/2025,21:01:16,30.95,0.0,37.746058,-121.425768,12.93,3.67,25.72
78388,Tracy080925_022-20250809 205154,1754798477097,8/9/2025,21:01:17,30.84,0.0,37.746141,-121.425768,13.02,3.98,21.90
79377,Tracy080925_022-20250809 205154,1754798478086,8/9/2025,21:01:18,30.84,0.0,37.746204,-121.425769,12.85,4.11,17.47
80398,Tracy080925_022-20250809 205154,1754798479107,8/9/2025,21:01:19,30.86,0.0,37.746249,-121.425769,12.90,3.35,13.22
81388,Tracy080925_022-20250809 205154,1754798480097,8/9/2025,21:01:20,30.82,0.0,37.746289,-121.425769,12.90,3.26,11.03
82377,Tracy080925_022-20250809 205154,1754798481086,8/9/2025,21:01:21,30.82,0.0,37.746316,-121.425769,13.01,6.51,8.59
83428,Tracy080925_022-20250809 205154,1754798482137,8/9/2025,21:01:22,30.82,0.0,37.746333,-121.425779,13.03,8.51,7.52
84450,Tracy080925_022-20250809 205154,1754798483159,8/9/2025,21:01:23,30.80,0.0,37.746335,-121.425911,13.21,3.43,7.40
85407,Tracy080925_022-20250809 205154,1754798484116,8/9/2025,21:01:24,30.79,0.0,37.746330,-121.425944,12.89,3.27,6.58
86398,Tracy080925_022-20250809 205154,1754798485107,8/9/2025,21:01:25,30.80,0.0,37.746332,-121.425978,12.99,3.13,7.18
87417,Tracy080925_022-20250809 205154,1754798486126,8/9/2025,21:01:26,30.80,0.0,37.746337,-121.426041,13.22,3.03,11.05
88407,Tracy080925_022-20250809 205154,1754798487116,8/9/2025,21:01:27,30.88,0.0,37.746343,-121.426120,13.00,2.97,13.67
89398,Tracy080925_022-20250809 205154,1754798488107,8/9/2025,21:01:28,30.92,0.0,37.746345,-121.426191,12.72,2.94,13.78
90388,Tracy080925_022-20250809 205154,1754798489097,8/9/2025,21:01:29,30.95,0.0,37.746341,-121.426265,13.00,2.84,14.61
91410,Tracy080925_022-20250809 205154,1754798490119,8/9/2025,21:01:30,30.96,0.0,37.746343,-121.426350,12.83,2.82,16.17
92398,Tracy080925_022-20250809 205154,1754798491107,8/9/2025,21:01:31,30.95,0.0,37.746343,-121.426438,12.72,2.85,16.69
93387,Tracy080925_022-20250809 205154,1754798492096,8/9/2025,21:01:32,30.95,0.0,37.746341,-121.426518,12.82,3.06,16.37
94377,Tracy080925_022-20250809 205154,1754798493086,8/9/2025,21:01:33,30.91,0.0,37.746340,-121.426605,12.48,2.97,16.98
95398,Tracy080925_022-20250809 205154,1754798494107,8/9/2025,21:01:34,30.86,0.0,37.746341,-121.426691,12.46,2.89,16.91
96387,Tracy080925_022-20250809 205154,1754798495096,8/9/2025,21:01:35,30.82,0.0,37.746340,-121.426774,12.31,2.86,16.53
97407,Tracy080925_022-20250809 205154,1754798496116,8/9/2025,21:01:36,30.88,0.0,37.746340,-121.426867,12.26,2.79,18.03
98398,Tracy080925_022-20250809 205154,1754798497107,8/9/2025,21:01:37,30.87,0.0,37.746340,-121.426970,12.33,2.68,19.53
99387,Tracy080925_022-20250809 205154,1754798498096,8/9/2025,21:01:38,30.89,0.0,37.746340,-121.427068,12.43,3.09,19.30
100407,Tracy080925_022-20250809 205154,1754798499116,8/9/2025,21:01:39,30.82,0.0,37.746341,-121.427163,12.08,2.92,18.81
101428,Tracy080925_022-20250809 205154,1754798500137,8/9/2025,21:01:40,30.80,0.0,37.746340,-121.427239,11.94,2.62,15.93
102388,Tracy080925_022-20250809 205154,1754798501097,8/9/2025,21:01:41,30.79,0.0,37.746340,-121.427290,12.04,2.46,11.97
103378,Tracy080925_022-20250809 205154,1754798502087,8/9/2025,21:01:42,30.80,0.0,37.746339,-121.427322,12.10,2.37,8.23
104398,Tracy080925_022-20250809 205154,1754798503107,8/9/2025,21:01:43,30.77,0.0,37.746340,-121.427346,12.30,2.31,5.61
105387,Tracy080925_022-20250809 205154,1754798504096,8/9/2025,21:01:44,30.75,0.0,37.746339,-121.427364,12.12,2.26,4.45
106407,Tracy080925_022-20250809 205154,1754798505116,8/9/2025,21:01:45,30.73,0.0,37.746339,-121.427384,12.18,2.29,4.07
107398,Tracy080925_022-20250809 205154,1754798506107,8/9/2025,21:01:46,30.70,0.0,37.746337,-121.427404,12.17,2.27,3.94
108387,Tracy080925_022-20250809 205154,1754798507096,8/9/2025,21:01:47,30.68,0.0,37.746336,-121.427418,12.24,2.24,3.06
109408,Tracy080925_022-20250809 205154,1754798508117,8/9/2025,21:01:48,30.66,0.0,37.746336,-121.427426,12.34,2.22,2.01
110398,Tracy080925_022-20250809 205154,1754798509107,8/9/2025,21:01:49,30.64,0.0,37.746337,-121.427441,12.42,2.20,2.64
111418,Tracy080925_022-20250809 205154,1754798510127,8/9/2025,21:01:50,30.64,0.0,37.746337,-121.427471,12.36,2.25,5.06
112378,Tracy080925_022-20250809 205154,1754798511087,8/9/2025,21:01:51,30.62,0.0,37.746337,-121.427515,12.31,2.31,7.34
113398,Tracy080925_022-20250809 205154,1754798512107,8/9/2025,21:01:52,30.62,0.0,37.746336,-121.427569,12.45,2.29,9.73
114388,Tracy080925_022-20250809 205154,1754798513097,8/9/2025,21:01:53,30.62,0.0,37.746334,-121.427639,12.41,2.27,12.68
115408,Tracy080925_022-20250809 205154,1754798514117,8/9/2025,21:01:54,30.61,0.0,37.746332,-121.427727,12.49,2.25,16.15
116398,Tracy080925_022-20250809 205154,1754798515107,8/9/2025,21:01:55,30.62,0.0,37.746331,-121.427828,12.46,2.21,18.59
117388,Tracy080925_022-20250809 205154,1754798516097,8/9/2025,21:01:56,30.62,0.0,37.746331,-121.427925,12.39,2.15,18.52
118407,Tracy080925_022-20250809 205154,1754798517116,8/9/2025,21:01:57,30.66,0.0,37.746333,-121.428016,12.45,2.11,18.05
119398,Tracy080925_022-20250809 205154,1754798518107,8/9/2025,21:01:58,30.66,0.0,37.746334,-121.428109,12.49,2.07,18.25
120388,Tracy080925_022-20250809 205154,1754798519097,8/9/2025,21:01:59,30.64,0.0,37.746334,-121.428210,12.46,2.15,19.53
121408,Tracy080925_022-20250809 205154,1754798520117,8/9/2025,21:02:00,30.61,0.0,37.746334,-121.428315,12.65,2.40,20.36
122398,Tracy080925_022-20250809 205154,1754798521107,8/9/2025,21:02:01,30.63,0.0,37.746336,-121.428417,12.70,2.26,20.07
123389,Tracy080925_022-20250809 205154,1754798522098,8/9/2025,21:02:02,30.76,0.0,37.746336,-121.428515,12.64,2.17,19.57
124377,Tracy080925_022-20250809 205154,1754798523086,8/9/2025,21:02:03,30.73,0.0,37.746337,-121.428611,12.64,2.11,19.13
125398,Tracy080925_022-20250809 205154,1754798524107,8/9/2025,21:02:04,30.73,0.0,37.746335,-121.428705,12.79,2.07,18.54
126388,Tracy080925_022-20250809 205154,1754798525097,8/9/2025,21:02:05,30.73,0.0,37.746333,-121.428796,12.84,2.66,18.16
127378,Tracy080925_022-20250809 205154,1754798526087,8/9/2025,21:02:06,30.73,0.0,37.746330,-121.428888,12.72,2.83,18.41
128398,Tracy080925_022-20250809 205154,1754798527107,8/9/2025,21:02:07,30.79,0.0,37.746332,-121.428994,12.97,2.59,19.91
129388,Tracy080925_022-20250809 205154,1754798528097,8/9/2025,21:02:08,30.72,0.0,37.746332,-121.429095,13.00,2.68,20.07
130377,Tracy080925_022-20250809 205154,1754798529086,8/9/2025,21:02:09,30.68,0.0,37.746332,-121.429194,12.70,2.81,19.42
131397,Tracy080925_022-20250809 205154,1754798530106,8/9/2025,21:02:10,30.71,0.0,37.746332,-121.429285,12.83,2.65,18.32
132388,Tracy080925_022-20250809 205154,1754798531097,8/9/2025,21:02:11,30.70,0.0,37.746332,-121.429377,12.93,2.45,18.32
133378,Tracy080925_022-20250809 205154,1754798532087,8/9/2025,21:02:12,30.67,0.0,37.746333,-121.429469,12.79,2.38,18.23
134398,Tracy080925_022-20250809 205154,1754798533107,8/9/2025,21:02:13,30.64,0.0,37.746333,-121.429561,12.71,2.26,18.14
135388,Tracy080925_022-20250809 205154,1754798534097,8/9/2025,21:02:14,30.62,0.0,37.746336,-121.429650,12.84,2.18,17.67
136408,Tracy080925_022-20250809 205154,1754798535117,8/9/2025,21:02:15,30.64,0.0,37.746337,-121.429729,12.79,2.12,15.97
137398,Tracy080925_022-20250809 205154,1754798536107,8/9/2025,21:02:16,30.70,0.0,37.746337,-121.429789,12.67,2.14,12.97
138389,Tracy080925_022-20250809 205154,1754798537098,8/9/2025,21:02:17,30.70,0.0,37.746337,-121.429827,12.61,2.11,9.13
139378,Tracy080925_022-20250809 205154,1754798538087,8/9/2025,21:02:18,30.68,0.0,37.746337,-121.429846,12.55,2.09,5.39
140369,Tracy080925_022-20250809 205154,1754798539078,8/9/2025,21:02:19,30.68,0.0,37.746337,-121.429859,12.68,2.33,3.96
141388,Tracy080925_022-20250809 205154,1754798540097,8/9/2025,21:02:20,30.62,0.0,37.746338,-121.429897,12.63,2.29,6.87
142409,Tracy080925_022-20250809 205154,1754798541118,8/9/2025,21:02:21,30.59,0.0,37.746337,-121.429962,12.66,2.32,11.14
143398,Tracy080925_022-20250809 205154,1754798542107,8/9/2025,21:02:22,30.56,0.0,37.746339,-121.430044,12.38,2.39,14.63
144390,Tracy080925_022-20250809 205154,1754798543099,8/9/2025,21:02:23,30.55,0.0,37.746337,-121.430142,12.56,2.43,17.74
145409,Tracy080925_022-20250809 205154,1754798544118,8/9/2025,21:02:24,30.59,0.0,37.746337,-121.430243,12.77,2.35,19.08
146398,Tracy080925_022-20250809 205154,1754798545107,8/9/2025,21:02:25,30.62,0.0,37.746338,-121.430342,12.65,2.28,19.30
147389,Tracy080925_022-20250809 205154,1754798546098,8/9/2025,21:02:26,30.61,0.0,37.746337,-121.430445,12.56,2.18,19.84
148379,Tracy080925_022-20250809 205154,1754798547088,8/9/2025,21:02:27,30.60,0.0,37.746336,-121.430554,12.73,2.37,21.18
149399,Tracy080925_022-20250809 205154,1754798548108,8/9/2025,21:02:28,30.59,0.0,37.746337,-121.430673,12.75,2.23,22.62
150389,Tracy080925_022-20250809 205154,1754798549098,8/9/2025,21:02:29,30.55,0.0,37.746338,-121.430798,12.56,2.31,23.98
151378,Tracy080925_022-20250809 205154,1754798550087,8/9/2025,21:02:30,30.58,0.0,37.746337,-121.430925,12.50,2.33,24.65
152399,Tracy080925_022-20250809 205154,1754798551108,8/9/2025,21:02:31,30.58,0.0,37.746335,-121.431047,12.71,2.18,24.09
153389,Tracy080925_022-20250809 205154,1754798552098,8/9/2025,21:02:32,30.62,0.0,37.746335,-121.431162,12.71,2.10,23.26
154410,Tracy080925_022-20250809 205154,1754798553119,8/9/2025,21:02:33,30.62,0.0,37.746335,-121.431276,12.80,2.06,22.75
155399,Tracy080925_022-20250809 205154,1754798554108,8/9/2025,21:02:34,30.62,0.0,37.746336,-121.431389,12.73,2.03,22.32
156389,Tracy080925_022-20250809 205154,1754798555098,8/9/2025,21:02:35,30.62,0.0,37.746334,-121.431498,12.55,2.02,21.97
157409,Tracy080925_022-20250809 205154,1754798556118,8/9/2025,21:02:36,30.60,0.0,37.746331,-121.431606,12.55,2.18,21.70
158429,Tracy080925_022-20250809 205154,1754798557138,8/9/2025,21:02:37,30.59,0.0,37.746332,-121.431716,12.66,2.40,21.83
159388,Tracy080925_022-20250809 205154,1754798558097,8/9/2025,21:02:38,30.62,0.0,37.746333,-121.431831,12.77,2.27,22.44
160409,Tracy080925_022-20250809 205154,1754798559118,8/9/2025,21:02:39,30.66,0.0,37.746331,-121.431945,12.81,2.26,22.32
161400,Tracy080925_022-20250809 205154,1754798560109,8/9/2025,21:02:40,30.66,0.0,37.746331,-121.432054,12.71,2.48,21.85
162389,Tracy080925_022-20250809 205154,1754798561098,8/9/2025,21:02:41,30.70,0.0,37.746333,-121.432162,12.88,2.36,21.34
163381,Tracy080925_022-20250809 205154,1754798562090,8/9/2025,21:02:42,30.77,0.0,37.746332,-121.432275,12.94,2.75,22.06
164400,Tracy080925_022-20250809 205154,1754798563109,8/9/2025,21:02:43,30.79,0.0,37.746331,-121.432399,12.95,2.42,23.76
165390,Tracy080925_022-20250809 205154,1754798564099,8/9/2025,21:02:44,30.75,0.0,37.746331,-121.432525,12.93,2.75,24.36
166409,Tracy080925_022-20250809 205154,1754798565118,8/9/2025,21:02:45,30.72,0.0,37.746335,-121.432643,12.88,2.41,23.33
167399,Tracy080925_022-20250809 205154,1754798566108,8/9/2025,21:02:46,30.71,0.0,37.746337,-121.432746,12.76,2.23,21.00
168419,Tracy080925_022-20250809 205154,1754798567128,8/9/2025,21:02:47,30.73,0.0,37.746339,-121.432836,12.84,2.38,19.04
169379,Tracy080925_022-20250809 205154,1754798568088,8/9/2025,21:02:48,30.73,0.0,37.746338,-121.432921,12.88,2.38,17.31
170400,Tracy080925_022-20250809 205154,1754798569109,8/9/2025,21:02:49,30.70,0.0,37.746339,-121.432979,12.74,2.71,12.97
171390,Tracy080925_022-20250809 205154,1754798570099,8/9/2025,21:02:50,30.70,0.0,37.746339,-121.433009,12.55,2.53,8.01
172381,Tracy080925_022-20250809 205154,1754798571090,8/9/2025,21:02:51,30.68,0.0,37.746338,-121.433021,12.59,2.56,4.50
173400,Tracy080925_022-20250809 205154,1754798572109,8/9/2025,21:02:52,30.66,0.0,37.746338,-121.433040,12.81,2.46,4.00
174390,Tracy080925_022-20250809 205154,1754798573099,8/9/2025,21:02:53,30.64,0.0,37.746338,-121.433059,12.70,2.63,3.80
175379,Tracy080925_022-20250809 205154,1754798574088,8/9/2025,21:02:54,30.64,0.0,37.746339,-121.433094,13.02,2.67,6.31
176370,Tracy080925_022-20250809 205154,1754798575079,8/9/2025,21:02:55,30.63,0.0,37.746339,-121.433162,13.06,2.74,11.03
177389,Tracy080925_022-20250809 205154,1754798576098,8/9/2025,21:02:56,30.67,0.0,37.746338,-121.433241,13.03,2.71,14.27
178439,Tracy080925_022-20250809 205154,1754798577148,8/9/2025,21:02:57,30.59,0.0,37.746335,-121.433340,13.16,2.72,17.83
179399,Tracy080925_022-20250809 205154,1754798578108,8/9/2025,21:02:58,30.59,0.0,37.746332,-121.433452,13.31,2.53,20.71
180389,Tracy080925_022-20250809 205154,1754798579098,8/9/2025,21:02:59,30.67,0.0,37.746328,-121.433576,13.40,3.05,23.31
181379,Tracy080925_022-20250809 205154,1754798580088,8/9/2025,21:03:00,30.70,0.0,37.746326,-121.433711,13.38,2.61,25.72
182399,Tracy080925_022-20250809 205154,1754798581108,8/9/2025,21:03:01,30.71,0.0,37.746325,-121.433854,13.25,2.39,27.00
183390,Tracy080925_022-20250809 205154,1754798582099,8/9/2025,21:03:02,30.72,0.0,37.746323,-121.433987,13.37,2.21,26.53
184440,Tracy080925_022-20250809 205154,1754798583149,8/9/2025,21:03:03,30.67,0.0,37.746327,-121.434119,13.43,2.14,25.97
185430,Tracy080925_022-20250809 205154,1754798584139,8/9/2025,21:03:04,30.67,0.0,37.746331,-121.434243,13.46,2.07,25.05
186390,Tracy080925_022-20250809 205154,1754798585099,8/9/2025,21:03:05,30.66,0.0,37.746336,-121.434364,13.29,2.04,24.32
187409,Tracy080925_022-20250809 205154,1754798586118,8/9/2025,21:03:06,30.70,0.0,37.746338,-121.434480,13.34,2.02,23.40
188429,Tracy080925_022-20250809 205154,1754798587138,8/9/2025,21:03:07,30.76,0.0,37.746340,-121.434593,13.25,2.13,22.84
189390,Tracy080925_022-20250809 205154,1754798588099,8/9/2025,21:03:08,30.87,0.0,37.746339,-121.434702,13.27,3.07,21.56
190410,Tracy080925_022-20250809 205154,1754798589119,8/9/2025,21:03:09,30.84,0.0,37.746338,-121.434785,13.20,3.12,17.74
191400,Tracy080925_022-20250809 205154,1754798590109,8/9/2025,21:03:10,30.83,0.0,37.746337,-121.434844,12.93,2.87,13.53
192390,Tracy080925_022-20250809 205154,1754798591099,8/9/2025,21:03:11,30.82,0.0,37.746336,-121.434883,12.86,2.65,9.08
193410,Tracy080925_022-20250809 205154,1754798592119,8/9/2025,21:03:12,30.80,0.0,37.746335,-121.434904,12.68,2.67,5.23
194400,Tracy080925_022-20250809 205154,1754798593109,8/9/2025,21:03:13,30.78,0.0,37.746337,-121.434908,12.79,2.56,2.04
195390,Tracy080925_022-20250809 205154,1754798594099,8/9/2025,21:03:14,30.76,0.0,37.746338,-121.434918,12.83,2.51,2.06
196409,Tracy080925_022-20250809 205154,1754798595118,8/9/2025,21:03:15,30.77,0.0,37.746341,-121.434933,12.87,2.49,2.68
197400,Tracy080925_022-20250809 205154,1754798596109,8/9/2025,21:03:16,30.77,0.0,37.746343,-121.434949,12.86,2.43,3.04
198420,Tracy080925_022-20250809 205154,1754798597129,8/9/2025,21:03:17,30.73,0.0,37.746343,-121.434977,12.74,2.47,5.30
199410,Tracy080925_022-20250809 205154,1754798598119,8/9/2025,21:03:18,30.74,0.0,37.746333,-121.435019,12.95,2.45,8.01
